#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151450455
#Date Time: 2019-02-01 09:32:42.824
#Sample rate: 2e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Either Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: DC
#Offset: 0 V

Calibration
Zero DC offset
Measured: ~-130mV
Time (s),Channel 1 (V)
0.000896,-0.127324
0.0008965,-0.13162
0.000897,-0.125176
0.0008975,-0.129472
0.000898,-0.127324
0.0008985,-0.129472
0.000899,-0.127324
0.0008995,-0.127324
0.0009,-0.133768
0.0009005,-0.125176
0.000901,-0.13162
0.0009015,-0.127324
0.000902,-0.129472
0.0009025,-0.12088
0.000903,-0.127324
0.0009035,-0.125176
0.000904,-0.129472
0.0009045,-0.125176
0.000905,-0.125176
0.0009055,-0.129472
0.000906,-0.125176
0.0009065,-0.127324
0.000907,-0.127324
0.0009075,-0.127324
0.000908,-0.125176
0.0009085,-0.129472
0.000909,-0.127324
0.0009095,-0.125176
0.00091,-0.129472
0.0009105,-0.127324
0.000911,-0.13162
0.0009115,-0.125176
0.000912,-0.135916
0.0009125,-0.125176
0.000913,-0.129472
0.0009135,-0.123028
0.000914,-0.133768
0.0009145,-0.123028
0.000915,-0.127324
0.0009155,-0.123028
0.000916,-0.13162
0.0009165,-0.125176
0.000917,-0.123028
0.0009175,-0.129472
0.000918,-0.129472
0.0009185,-0.129472
0.000919,-0.12088
0.0009195,-0.129472
0.00092,-0.125176
0.0009205,-0.129472
0.000921,-0.123028
0.0009215,-0.129472
0.000922,-0.13162
0.0009225,-0.125176
0.000923,-0.127324
0.0009235,-0.118732
0.000924,-0.138065
0.0009245,-0.125176
0.000925,-0.129472
0.0009255,-0.12088
0.000926,-0.133768
0.0009265,-0.123028
0.000927,-0.127324
0.0009275,-0.12088
0.000928,-0.129472
0.0009285,-0.123028
0.000929,-0.123028
0.0009295,-0.123028
0.00093,-0.127324
0.0009305,-0.127324
0.000931,-0.123028
0.0009315,-0.125176
0.000932,-0.125176
0.0009325,-0.129472
0.000933,-0.12088
0.0009335,-0.125176
0.000934,-0.129472
0.0009345,-0.127324
0.000935,-0.125176
0.0009355,-0.123028
0.000936,-0.13162
0.0009365,-0.125176
0.000937,-0.129472
0.0009375,-0.118732
0.000938,-0.13162
0.0009385,-0.123028
0.000939,-0.127324
0.0009395,-0.123028
0.00094,-0.129472
0.0009405,-0.125176
0.000941,-0.127324
0.0009415,-0.125176
0.000942,-0.127324
0.0009425,-0.127324
0.000943,-0.123028
0.0009435,-0.127324
0.000944,-0.125176
0.0009445,-0.13162
0.000945,-0.123028
0.0009455,-0.125176
0.000946,-0.129472
0.0009465,-0.127324
0.000947,-0.127324
0.0009475,-0.125176
0.000948,-0.125176
0.0009485,-0.125176
0.000949,-0.129472
0.0009495,-0.123028
0.00095,-0.133768
0.0009505,-0.125176
0.000951,-0.127324
0.0009515,-0.123028
0.000952,-0.129472
0.0009525,-0.129472
0.000953,-0.127324
0.0009535,-0.127324
0.000954,-0.127324
0.0009545,-0.13162
0.000955,-0.123028
0.0009555,-0.13162
0.000956,-0.127324
0.0009565,-0.13162
0.000957,-0.123028
0.0009575,-0.129472
0.000958,-0.123028
0.0009585,-0.129472
0.000959,-0.127324
0.0009595,-0.127324
0.00096,-0.127324
0.0009605,-0.127324
0.000961,-0.129472
0.0009615,-0.123028
0.000962,-0.13162
0.0009625,-0.123028
0.000963,-0.13162
0.0009635,-0.123028
0.000964,-0.129472
0.0009645,-0.127324
0.000965,-0.127324
0.0009655,-0.125176
0.000966,-0.123028
0.0009665,-0.129472
0.000967,-0.123028
0.0009675,-0.125176
0.000968,-0.127324
0.0009685,-0.13162
0.000969,-0.118732
0.0009695,-0.13162
0.00097,-0.125176
0.0009705,-0.129472
0.000971,-0.12088
0.0009715,-0.129472
0.000972,-0.127324
0.0009725,-0.125176
0.000973,-0.129472
0.0009735,-0.129472
0.000974,-0.13162
0.0009745,-0.125176
0.000975,-0.13162
0.0009755,-0.125176
0.000976,-0.129472
0.0009765,-0.127324
0.000977,-0.127324
0.0009775,-0.129472
0.000978,-0.127324
0.0009785,-0.129472
0.000979,-0.123028
0.0009795,-0.127324
0.00098,-0.123028
0.0009805,-0.133768
0.000981,-0.12088
0.0009815,-0.129472
0.000982,-0.123028
0.0009825,-0.13162
0.000983,-0.123028
0.0009835,-0.125176
0.000984,-0.125176
0.0009845,-0.127324
0.000985,-0.125176
0.0009855,-0.123028
0.000986,-0.127324
0.0009865,-0.129472
0.000987,-0.129472
0.0009875,-0.123028
0.000988,-0.129472
0.0009885,-0.127324
0.000989,-0.129472
0.0009895,-0.125176
0.00099,-0.125176
0.0009905,-0.125176
0.000991,-0.127324
0.0009915,-0.127324
0.000992,-0.12088
0.0009925,-0.133768
0.000993,-0.12088
0.0009935,-0.133768
0.000994,-0.118732
0.0009945,-0.133768
0.000995,-0.123028
0.0009955,-0.129472
0.000996,-0.125176
0.0009965,-0.129472
0.000997,-0.127324
0.0009975,-0.127324
0.000998,-0.127324
0.0009985,-0.129472
0.000999,-0.129472
0.0009995,-0.12088
0.001,-0.127324
0.0010005,-0.12088
0.001001,-0.129472
0.0010015,-0.125176
0.001002,-0.125176
0.0010025,-0.129472
0.001003,-0.127324
0.0010035,-0.127324
0.001004,-0.125176
0.0010045,-0.135916
0.001005,-0.125176
0.0010055,-0.129472
0.001006,-0.123028
0.0010065,-0.133768
0.001007,-0.123028
0.0010075,-0.127324
0.001008,-0.123028
0.0010085,-0.129472
0.001009,-0.127324
0.0010095,-0.123028
0.00101,-0.125176
0.0010105,-0.125176
0.001011,-0.13162
0.0010115,-0.123028
0.001012,-0.129472
0.0010125,-0.125176
0.001013,-0.13162
0.0010135,-0.125176
0.001014,-0.127324
0.0010145,-0.127324
0.001015,-0.127324
0.0010155,-0.13162
0.001016,-0.123028
0.0010165,-0.129472
0.001017,-0.127324
0.0010175,-0.129472
0.001018,-0.123028
0.0010185,-0.133768
0.001019,-0.127324
0.0010195,-0.13162
0.00102,-0.123028
0.0010205,-0.129472
0.001021,-0.127324
0.0010215,-0.125176
0.001022,-0.127324
0.0010225,-0.125176
0.001023,-0.13162
0.0010235,-0.12088
0.001024,-0.125176
0.0010245,-0.125176
0.001025,-0.129472
0.0010255,-0.12088
0.001026,-0.125176
0.0010265,-0.125176
0.001027,-0.125176
0.0010275,-0.125176
0.001028,-0.12088
0.0010285,-0.127324
0.001029,-0.123028
0.0010295,-0.125176
0.00103,-0.118732
0.0010305,-0.127324
0.001031,-0.12088
0.0010315,-0.127324
0.001032,-0.118732
0.0010325,-0.125176
0.001033,-0.127324
0.0010335,-0.125176
0.001034,-0.127324
0.0010345,-0.127324
0.001035,-0.13162
0.0010355,-0.123028
0.001036,-0.129472
0.0010365,-0.127324
0.001037,-0.13162
0.0010375,-0.12088
0.001038,-0.127324
0.0010385,-0.125176
0.001039,-0.127324
0.0010395,-0.125176
0.00104,-0.123028
0.0010405,-0.133768
0.001041,-0.127324
0.0010415,-0.13162
0.001042,-0.125176
0.0010425,-0.13162
0.001043,-0.125176
0.0010435,-0.129472
0.001044,-0.125176
0.0010445,-0.127324
0.001045,-0.129472
0.0010455,-0.125176
0.001046,-0.125176
0.0010465,-0.125176
0.001047,-0.129472
0.0010475,-0.12088
0.001048,-0.129472
0.0010485,-0.127324
0.001049,-0.13162
0.0010495,-0.118732
0.00105,-0.127324
0.0010505,-0.123028
0.001051,-0.129472
0.0010515,-0.123028
0.001052,-0.123028
0.0010525,-0.129472
0.001053,-0.125176
0.0010535,-0.127324
0.001054,-0.123028
0.0010545,-0.129472
0.001055,-0.129472
0.0010555,-0.129472
0.001056,-0.125176
0.0010565,-0.133768
0.001057,-0.127324
0.0010575,-0.125176
0.001058,-0.129472
0.0010585,-0.129472
0.001059,-0.133768
0.0010595,-0.127324
0.00106,-0.129472
0.0010605,-0.123028
0.001061,-0.129472
0.0010615,-0.12088
0.001062,-0.129472
0.0010625,-0.125176
0.001063,-0.13162
0.0010635,-0.123028
0.001064,-0.129472
0.0010645,-0.129472
0.001065,-0.129472
0.0010655,-0.127324
0.001066,-0.125176
0.0010665,-0.129472
0.001067,-0.129472
0.0010675,-0.13162
0.001068,-0.129472
0.0010685,-0.13162
0.001069,-0.129472
0.0010695,-0.127324
0.00107,-0.127324
0.0010705,-0.123028
0.001071,-0.129472
0.0010715,-0.125176
0.001072,-0.129472
0.0010725,-0.123028
0.001073,-0.13162
0.0010735,-0.12088
0.001074,-0.127324
0.0010745,-0.125176
0.001075,-0.129472
0.0010755,-0.125176
0.001076,-0.129472
0.0010765,-0.127324
0.001077,-0.123028
0.0010775,-0.123028
0.001078,-0.127324
0.0010785,-0.129472
0.001079,-0.127324
0.0010795,-0.129472
0.00108,-0.125176
0.0010805,-0.127324
0.001081,-0.125176
0.0010815,-0.129472
0.001082,-0.127324
0.0010825,-0.125176
0.001083,-0.13162
0.0010835,-0.127324
0.001084,-0.13162
0.0010845,-0.123028
0.001085,-0.133768
0.0010855,-0.123028
0.001086,-0.129472
0.0010865,-0.12088
0.001087,-0.133768
0.0010875,-0.123028
0.001088,-0.129472
0.0010885,-0.123028
0.001089,-0.127324
0.0010895,-0.123028
0.00109,-0.123028
0.0010905,-0.127324
0.001091,-0.12088
0.0010915,-0.129472
0.001092,-0.12088
0.0010925,-0.127324
0.001093,-0.125176
0.0010935,-0.127324
0.001094,-0.123028
0.0010945,-0.123028
0.001095,-0.129472
0.0010955,-0.123028
0.001096,-0.129472
0.0010965,-0.118732
0.001097,-0.133768
0.0010975,-0.12088
0.001098,-0.127324
0.0010985,-0.12088
0.001099,-0.129472
0.0010995,-0.12088
0.0011,-0.127324
0.0011005,-0.12088
0.001101,-0.127324
0.0011015,-0.127324
0.001102,-0.125176
0.0011025,-0.127324
0.001103,-0.123028
0.0011035,-0.13162
0.001104,-0.12088
0.0011045,-0.127324
0.001105,-0.125176
0.0011055,-0.129472
0.001106,-0.125176
0.0011065,-0.125176
0.001107,-0.129472
0.0011075,-0.125176
0.001108,-0.13162
0.0011085,-0.123028
0.001109,-0.13162
0.0011095,-0.125176
0.00111,-0.129472
0.0011105,-0.12088
0.001111,-0.133768
0.0011115,-0.125176
